Column1,Column2,Column3,Column4
348,0,88,912
349,0,86,914
350,0,85,915
351,0,85,915
352,0,83,917
353,0,81,919
354,0,81,919
355,0,79,921
356,0,79,921
357,0,78,922
358,0,78,922
359,0,77,923
360,0,77,923
361,0,76,924
362,0,75,925
363,0,73,927
364,0,71,929
365,0,71,929
366,0,71,929
367,0,71,929
368,0,70,930
369,0,69,931
370,0,69,931
371,0,69,931
372,0,67,933
373,0,66,934
374,0,66,934
375,0,65,935
376,0,65,935
377,0,64,936
378,0,64,936
379,0,63,937
380,0,62,938
381,0,60,940
382,0,57,943
383,0,56,944
384,0,56,944
385,0,54,946
386,0,54,946
387,0,53,947
388,0,53,947
389,0,52,948
390,0,52,948
391,0,52,948
392,0,52,948
393,0,51,949
394,0,49,951
395,0,48,952
396,0,47,953
397,0,47,953
398,0,47,953
399,0,47,953
400,0,46,954
401,0,45,955
402,0,45,955
403,0,45,955
404,0,44,956
405,0,44,956
406,0,44,956
407,0,44,956
408,0,44,956
409,0,44,956
410,0,43,957
411,0,43,957
412,0,43,957
413,0,43,957
414,0,42,958
415,0,42,958
416,0,41,959
417,0,41,959
418,0,41,959
419,0,41,959
420,0,41,959
421,0,41,959
422,0,40,960
423,0,40,960
424,0,40,960
425,0,40,960
426,0,40,960
427,0,39,961
428,0,39,961
429,0,39,961
430,0,38,962
431,0,38,962
432,0,37,963
433,0,37,963
434,0,37,963
435,0,34,966
436,0,34,966
437,0,34,966
438,0,34,966
439,0,34,966
440,0,34,966
441,0,34,966
442,0,34,966
443,0,34,966
444,0,34,966
445,0,32,968
446,0,32,968
447,0,32,968
448,0,32,968
449,0,32,968
450,0,31,969
451,0,31,969
452,0,31,969
453,0,30,970
454,0,30,970
455,0,29,971
456,0,29,971
457,0,28,972
458,0,27,973
459,0,27,973
460,0,27,973
461,0,27,973
462,0,27,973
463,0,27,973
464,0,27,973
465,0,27,973
466,0,27,973
467,0,27,973
468,0,27,973
469,0,26,974
470,0,26,974
471,0,25,975
472,0,25,975
473,0,25,975
474,0,25,975
475,0,25,975
476,0,25,975
477,0,25,975
478,0,24,976
479,0,24,976
480,0,24,976
481,0,22,978
482,0,21,979
483,0,21,979
484,0,21,979
485,0,21,979
486,0,21,979
487,0,21,979
488,0,21,979
489,0,21,979
490,0,19,981
491,0,19,981
492,0,19,981
493,0,19,981
494,0,19,981
495,0,19,981
496,0,18,982
497,0,18,982
498,0,18,982
499,0,18,982
500,0,18,982
501,0,18,982
